stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6173,6173,St Margarets Bay Rd Opposite Klefenz Ln (6173),,44.653599,-63.728156,,,,,,0
6174,6174,St Margarets Bay Rd After Maplewood Dr (6174),,44.657368,-63.736274,,,,,,0
6175,6175,St Margarets Bay Rd After Clearwater Dr (6175),,44.651256,-63.723303,,,,,,0
6176,6176,St Margarets Bay Rd Before Devonshire Dr (6176),,44.651222,-63.723401,,,,,,0
6177,6177,St Margarets Bay Rd At Donovon Dr (6177),,44.63972,-63.705433,,,,,,0
6178,6178,St Margarets Bay Rd At Civic 1697 (6178),,44.642418,-63.707256,,,,,,0
6179,6179,St Margarets Bay Rd Before Sheppards Run (6179),,44.635736,-63.676735,,,,,,0
6180,6180,St Margarets Bay Rd Before Raines Mill Rd (6180),,44.637953,-63.693811,,,,,,0
6181,6181,St Margarets Bay Rd Before Raines Mill Rd (6181),,44.637734,-63.696884,,,,,,0
6182,6182,St Margarets Bay Rd  At Wilbert Devoe Cr (6182),,44.644247,-63.708734,,,,,,0
6183,6183,St Margarets Bay Rd Opposide Bakers Dr (6183),,44.638693,-63.629101,,,,,,0
6184,6184,St Margarets Bay Rd Opposite Civic 1264 (6184),,44.637632,-63.686968,,,,,,0
6185,6185,St Margarets Bay Rd At Civic 1262 (6185),,44.637559,-63.686813,,,,,,0
6186,6186,St Margarets Bay Rd After Governors Lake Dr (6186),,44.642317,-63.707237,,,,,,0
6187,6187,St Margarets Bay Rd After Ferndale Dr (6187),,44.639648,-63.626868,,,,,,0
6188,6188,St Margarets Bay Rd After Lakeside Park Dr (6188),,44.637933,-63.688581,,,,,,0
6189,6189,St Margarets Bay Rd After Sheppards Run (6189),,44.634883,-63.675029,,,,,,0
6191,6191,Bayers Rd Before Windsor St (6191),,44.656532,-63.608022,,,,,,0
6192,6192,Bayers Rd After Windsor St (6192),,44.656244,-63.608518,,,,,,0
6193,6193,Bayers Rd Before Coleman Ct (6193),,44.651654,-63.617884,,,,,,0
6194,6194,Bayers Rd At Bayers Rd Centre (6194),,44.653755,-63.626488,,,,,,0
6195,6195,Bayers Rd After Oxford St (6195),,44.655086,-63.610019,,,,,,0
